Gmt time,Open,High,Low,Close,Volume
2025-07-23 09:00:00,3428.436,3433.879,3428.273,3431.212,6104
2025-07-23 10:00:00,3431.182,3431.446,3421.183,3422.736,7180
2025-07-23 11:00:00,3422.699,3429.806,3420.329,3428.204,6924
2025-07-23 12:00:00,3428.194,3430.024,3419.892,3420.049,10554
2025-07-23 13:00:00,3420.017,3420.65,3405.6,3413.37,19336
2025-07-23 14:00:00,3413.328,3419.871,3410.638,3413.586,10623
2025-07-23 15:00:00,3413.51,3415.898,3398.158,3398.158,11501
2025-07-23 16:00:00,3398.13,3398.13,3381.426,3387.403,27106
2025-07-23 17:00:00,3387.368,3394.911,3385.66,3393.221,11417
2025-07-23 18:00:00,3393.257,3395.899,3391.978,3393.734,6299
2025-07-23 19:00:00,3393.761,3395.944,3388.527,3390.105,6492
2025-07-23 20:00:00,3390.146,3390.467,3386.147,3386.906,3737
2025-07-23 22:00:00,3391.132,3392.534,3386.72,3386.72,3798
2025-07-23 23:00:00,3386.792,3391.625,3386.521,3390.032,3879
2025-07-24 00:00:00,3390.084,3393.283,3388.552,3391.502,5348
2025-07-24 01:00:00,3391.529,3393.462,3384.051,3387.675,11713
2025-07-24 02:00:00,3387.702,3388.964,3380.858,3383.86,10095
2025-07-24 03:00:00,3383.896,3386.076,3374.752,3383.786,9540
2025-07-24 04:00:00,3383.69,3385.413,3380.974,3382.599,4847
2025-07-24 05:00:00,3382.608,3382.965,3374.429,3379.289,7361
2025-07-24 06:00:00,3379.242,3379.599,3369.95,3376.069,8789
2025-07-24 07:00:00,3375.948,3377.621,3366.006,3367.781,8035
2025-07-24 08:00:00,3367.791,3374.751,3365.844,3369.742,7558
2025-07-24 09:00:00,3369.702,3370.17,3362.045,3363.651,7234
2025-07-24 10:00:00,3363.671,3367.223,3362.104,3364.4,5622
2025-07-24 11:00:00,3364.433,3366.505,3361.277,3362.32,6111
2025-07-24 12:00:00,3362.278,3365.538,3352.56,3353.493,12517
2025-07-24 13:00:00,3353.528,3372.183,3351.339,3366.768,19269
2025-07-24 14:00:00,3366.677,3377.445,3365.691,3373.69,11950
2025-07-24 15:00:00,3373.58,3375.228,3370.373,3372.565,8357
2025-07-24 16:00:00,3372.539,3373.726,3366.95,3367.028,6319
2025-07-24 17:00:00,3367.012,3371.836,3366.291,3370.056,5668
2025-07-24 18:00:00,3370.116,3373.501,3367.409,3372.051,4731
2025-07-24 19:00:00,3372.012,3373.154,3370.039,3370.502,4312
2025-07-24 20:00:00,3370.541,3371.284,3367.246,3368.176,3593
2025-07-24 22:00:00,3368.536,3370.035,3365.155,3368.823,4043
2025-07-24 23:00:00,3368.764,3371.431,3366.7,3369.443,4144
2025-07-25 00:00:00,3369.446,3373.602,3368.38,3372.244,4589
2025-07-25 01:00:00,3372.262,3372.807,3366.033,3370.438,6499
2025-07-25 02:00:00,3370.412,3370.649,3362.514,3363.238,5838
2025-07-25 03:00:00,3363.202,3363.604,3358.637,3359.218,5136
2025-07-25 04:00:00,3359.2,3363.525,3357.843,3361.018,4803
2025-07-25 05:00:00,3361.051,3362.442,3355.314,3358.701,5421
2025-07-25 06:00:00,3358.66,3359.8,3354.688,3359.397,6472
2025-07-25 07:00:00,3359.393,3360.195,3352.73,3354.032,6090
2025-07-25 08:00:00,3354.065,3355.382,3344.575,3345.514,6302
2025-07-25 09:00:00,3345.519,3348.952,3343.061,3345.908,5636
2025-07-25 10:00:00,3345.913,3348.09,3340.983,3342.86,5655
2025-07-25 11:00:00,3342.922,3345.22,3338.647,3341.036,6552
2025-07-25 12:00:00,3341.032,3344.116,3336.336,3340.748,8806
2025-07-25 13:00:00,3340.729,3347.522,3336.835,3344.001,15977
2025-07-25 14:00:00,3343.959,3344.985,3330.547,3331.775,16402
2025-07-25 15:00:00,3331.817,3335.962,3324.952,3327.92,15586
2025-07-25 16:00:00,3327.875,3331.489,3326.185,3329.729,7379
2025-07-25 17:00:00,3329.695,3336.823,3329.638,3335.898,5835
2025-07-25 18:00:00,3335.985,3339.42,3335.844,3338.723,4338
2025-07-25 19:00:00,3338.8,3340.308,3337.261,3337.828,4418
2025-07-25 20:00:00,3337.793,3339.205,3336.211,3336.85,3536
2025-07-27 22:00:00,3329.168,3335.369,3323.841,3329.627,8532
2025-07-27 23:00:00,3329.611,3337.489,3329.452,3333.707,7406
2025-07-28 00:00:00,3333.699,3336.114,3327.664,3333.45,7750
2025-07-28 01:00:00,3333.358,3338.824,3329.874,3332.016,10845
2025-07-28 02:00:00,3331.963,3336.563,3330.594,3335.656,6075
2025-07-28 03:00:00,3335.604,3343.34,3334.423,3343.27,5164
2025-07-28 04:00:00,3343.223,3344.069,3339.456,3339.657,4562
2025-07-28 05:00:00,3339.674,3344.257,3338.053,3343.422,5423
2025-07-28 06:00:00,3343.357,3345.376,3335.779,3340.224,7118
2025-07-28 07:00:00,3340.154,3341.92,3333.809,3334.906,8021
2025-07-28 08:00:00,3334.903,3338.815,3332.406,3335.989,6620
2025-07-28 09:00:00,3336.002,3340.804,3335.908,3337.756,6691
2025-07-28 10:00:00,3337.768,3338.863,3334.19,3335.88,7054
2025-07-28 11:00:00,3335.924,3338.357,3334.431,3336.543,5765
2025-07-28 12:00:00,3336.592,3338.393,3325.532,3328.496,11135
2025-07-28 13:00:00,3328.503,3330.712,3301.801,3302.338,18340
2025-07-28 14:00:00,3302.368,3314.841,3301.794,3308.005,18920
2025-07-28 15:00:00,3307.966,3317.192,3306.579,3314.788,9539
2025-07-28 16:00:00,3314.76,3315.077,3311.475,3312.31,5855
2025-07-28 17:00:00,3312.279,3313.23,3308.844,3310.773,6262
2025-07-28 18:00:00,3310.762,3315.638,3310.21,3313.683,4563
2025-07-28 19:00:00,3313.716,3318.914,3312.998,3317.185,5015
2025-07-28 20:00:00,3317.219,3318.433,3314.432,3314.902,3456
2025-07-28 22:00:00,3313.241,3315.319,3311.925,3314.638,5414
2025-07-28 23:00:00,3314.65,3314.748,3310.509,3312.492,3664
2025-07-29 00:00:00,3312.509,3315.927,3307.867,3311.624,6855
2025-07-29 01:00:00,3311.636,3320.885,3308.497,3318.942,8852
2025-07-29 02:00:00,3318.971,3320.361,3317.494,3318.952,5828
2025-07-29 03:00:00,3318.912,3318.912,3311.227,3312.6,5669
2025-07-29 04:00:00,3312.604,3317.469,3309.014,3316.531,4971
2025-07-29 05:00:00,3316.522,3320.069,3314.305,3319.898,5368
2025-07-29 06:00:00,3319.929,3322.454,3316.274,3316.999,10070
2025-07-29 07:00:00,3317.041,3318.715,3311.318,3317.157,9268
2025-07-29 08:00:00,3317.163,3330.0,3316.627,3326.409,8352
2025-07-29 09:00:00,3326.371,3328.309,3320.855,3324.499,8856
2025-07-29 10:00:00,3324.598,3326.442,3321.989,3322.179,5380
2025-07-29 11:00:00,3322.219,3322.225,3314.908,3315.302,7463
2025-07-29 12:00:00,3315.273,3324.554,3315.253,3323.249,9428
2025-07-29 13:00:00,3323.224,3324.255,3312.866,3317.51,16602
2025-07-29 14:00:00,3317.47,3329.659,3311.914,3328.924,14723
2025-07-29 15:00:00,3328.957,3334.166,3319.59,3320.775,11247
2025-07-29 16:00:00,3320.775,3324.808,3319.096,3323.176,7336
2025-07-29 17:00:00,3323.144,3329.293,3322.974,3328.274,6167
2025-07-29 18:00:00,3328.323,3330.93,3325.315,3325.831,4969
2025-07-29 19:00:00,3325.916,3328.791,3322.704,3324.962,5893
2025-07-29 20:00:00,3325.013,3326.71,3324.721,3326.484,3339
2025-07-29 22:00:00,3327.775,3329.195,3325.98,3327.667,2654
2025-07-29 23:00:00,3327.71,3328.383,3326.184,3327.555,2697
2025-07-30 00:00:00,3327.592,3333.697,3327.23,3330.23,5234
2025-07-30 01:00:00,3330.128,3333.28,3321.9,3323.319,8513
2025-07-30 02:00:00,3323.375,3332.373,3323.375,3329.397,6892
2025-07-30 03:00:00,3329.38,3329.929,3326.238,3328.453,4889
2025-07-30 04:00:00,3328.389,3329.852,3325.796,3327.269,4119
2025-07-30 05:00:00,3327.196,3330.657,3324.461,3324.97,5514
2025-07-30 06:00:00,3324.942,3327.562,3323.082,3327.014,6312
2025-07-30 07:00:00,3327.125,3332.173,3325.625,3327.775,6344
2025-07-30 08:00:00,3327.808,3333.43,3327.519,3332.223,6008
2025-07-30 09:00:00,3332.193,3334.049,3329.354,3331.297,5686
2025-07-30 10:00:00,3331.269,3333.026,3326.646,3328.497,8150
2025-07-30 11:00:00,3328.539,3331.697,3323.99,3330.87,7358
2025-07-30 12:00:00,3330.853,3331.928,3310.589,3313.445,13937
2025-07-30 13:00:00,3313.47,3316.098,3298.452,3303.102,22287
2025-07-30 14:00:00,3303.129,3308.419,3301.19,3302.069,10135
2025-07-30 15:00:00,3302.139,3303.365,3288.599,3290.489,11909
2025-07-30 16:00:00,3290.402,3298.533,3289.898,3297.974,7064
2025-07-30 17:00:00,3298.014,3302.124,3297.678,3301.517,5825
2025-07-30 18:00:00,3301.4,3304.791,3279.498,3280.245,31720
2025-07-30 19:00:00,3280.202,3282.679,3268.058,3269.42,22299
2025-07-30 20:00:00,3269.358,3276.237,3268.989,3275.29,7656
2025-07-30 22:00:00,3274.225,3280.1,3274.225,3278.931,5284
2025-07-30 23:00:00,3278.93,3285.824,3277.766,3285.327,4463
2025-07-31 00:00:00,3285.281,3288.52,3282.826,3286.54,7898
2025-07-31 01:00:00,3286.567,3293.977,3285.08,3293.81,10802
2025-07-31 02:00:00,3293.862,3297.54,3290.5,3297.242,7229
2025-07-31 03:00:00,3297.276,3298.598,3293.458,3295.11,5966
2025-07-31 04:00:00,3295.066,3298.442,3293.668,3298.122,4635
2025-07-31 05:00:00,3298.089,3301.567,3294.67,3299.695,5264
2025-07-31 06:00:00,3299.665,3304.861,3298.064,3299.048,8034
2025-07-31 07:00:00,3299.051,3309.795,3298.037,3304.785,8508
2025-07-31 08:00:00,3304.706,3314.854,3303.581,3309.977,8589
2025-07-31 09:00:00,3309.938,3313.194,3304.846,3306.669,7785
2025-07-31 10:00:00,3306.727,3308.17,3293.806,3296.285,8519
2025-07-31 11:00:00,3296.293,3307.8,3295.17,3306.135,9974
2025-07-31 12:00:00,3306.11,3311.187,3303.943,3307.666,11083
2025-07-31 13:00:00,3307.701,3310.503,3300.612,3301.437,18659
2025-07-31 14:00:00,3301.393,3303.229,3291.324,3296.145,15287
2025-07-31 15:00:00,3296.116,3299.16,3291.34,3295.569,10690
2025-07-31 16:00:00,3295.461,3297.349,3289.61,3295.012,9799
2025-07-31 17:00:00,3295.038,3298.474,3294.047,3295.03,7573
2025-07-31 18:00:00,3295.067,3297.153,3292.845,3295.735,5466
2025-07-31 19:00:00,3295.779,3296.394,3290.509,3291.053,5961
2025-07-31 20:00:00,3291.013,3293.735,3289.854,3290.759,4101
2025-07-31 22:00:00,3289.897,3295.196,3289.607,3295.034,3350
2025-07-31 23:00:00,3295.023,3295.162,3287.991,3288.675,4926
2025-08-01 00:00:00,3288.631,3293.823,3286.423,3290.38,6975
2025-08-01 01:00:00,3290.328,3293.559,3281.59,3283.667,8514
2025-08-01 02:00:00,3283.64,3292.512,3283.293,3291.742,7765
2025-08-01 03:00:00,3291.737,3297.164,3290.546,3291.427,5844
2025-08-01 04:00:00,3291.389,3295.604,3290.104,3292.112,5790
2025-08-01 05:00:00,3292.118,3300.494,3291.76,3296.736,6239
2025-08-01 06:00:00,3296.693,3297.719,3290.547,3292.421,6779
2025-08-01 07:00:00,3292.383,3293.408,3285.247,3286.885,8098
2025-08-01 08:00:00,3286.847,3294.5,3285.295,3294.289,7144
2025-08-01 09:00:00,3294.272,3296.449,3292.777,3294.462,6360
2025-08-01 10:00:00,3294.471,3303.128,3293.248,3298.384,6624
2025-08-01 11:00:00,3298.421,3301.358,3296.835,3300.333,6770
2025-08-01 12:00:00,3300.366,3345.285,3297.409,3341.232,28924
2025-08-01 13:00:00,3341.206,3354.655,3338.866,3342.114,32475
2025-08-01 14:00:00,3342.218,3355.112,3341.319,3345.964,24556
2025-08-01 15:00:00,3345.961,3351.344,3341.597,3348.591,13259
2025-08-01 16:00:00,3348.556,3349.401,3340.556,3347.389,11213
2025-08-01 17:00:00,3347.308,3349.458,3345.61,3348.244,8660
2025-08-01 18:00:00,3348.273,3351.399,3345.906,3347.648,6177
2025-08-01 19:00:00,3347.609,3361.349,3347.609,3357.209,10009
2025-08-01 20:00:00,3357.263,3363.59,3357.052,3363.143,5131
2025-08-03 22:00:00,3364.363,3364.587,3357.708,3359.108,6879
2025-08-03 23:00:00,3359.15,3362.074,3354.55,3361.981,5508
2025-08-04 00:00:00,3362.014,3362.402,3350.137,3352.221,7689
2025-08-04 01:00:00,3352.173,3353.701,3345.03,3352.339,9168
2025-08-04 02:00:00,3352.228,3355.278,3350.195,3354.291,5544
2025-08-04 03:00:00,3354.257,3360.913,3354.257,3360.279,5778
2025-08-04 04:00:00,3360.283,3362.239,3358.762,3358.977,4229
2025-08-04 05:00:00,3358.91,3361.035,3355.466,3357.577,4685
2025-08-04 06:00:00,3357.591,3362.695,3353.556,3362.655,7394
2025-08-04 07:00:00,3362.613,3362.613,3351.709,3355.833,8529
2025-08-04 08:00:00,3355.866,3359.826,3354.105,3358.472,6509
2025-08-04 09:00:00,3358.431,3361.835,3356.898,3358.001,5981
2025-08-04 10:00:00,3357.977,3358.951,3352.91,3357.819,5726
2025-08-04 11:00:00,3357.878,3370.783,3357.666,3370.287,7683
2025-08-04 12:00:00,3370.286,3371.551,3360.989,3367.814,9887
2025-08-04 13:00:00,3367.832,3385.377,3367.055,3383.265,13889
2025-08-04 14:00:00,3383.312,3384.665,3371.852,3374.086,11494
2025-08-04 15:00:00,3374.044,3376.104,3370.671,3374.33,9142
2025-08-04 16:00:00,3374.329,3378.177,3370.595,3370.991,6801
2025-08-04 17:00:00,3371.0,3374.369,3370.715,3374.027,5651
2025-08-04 18:00:00,3374.059,3376.881,3373.214,3375.841,4056
2025-08-04 19:00:00,3375.83,3377.189,3374.464,3375.995,4229
2025-08-04 20:00:00,3375.941,3376.952,3373.439,3373.902,2735
2025-08-04 22:00:00,3375.428,3376.446,3373.711,3374.757,2304
2025-08-04 23:00:00,3374.752,3379.727,3374.752,3377.431,4040
2025-08-05 00:00:00,3377.407,3381.433,3375.882,3379.823,4782
2025-08-05 01:00:00,3379.836,3382.422,3377.879,3379.085,6151
2025-08-05 02:00:00,3378.987,3381.451,3373.744,3373.744,5849
2025-08-05 03:00:00,3373.642,3375.471,3372.081,3372.081,4442
2025-08-05 04:00:00,3372.131,3373.254,3371.005,3371.192,3545
2025-08-05 05:00:00,3371.193,3374.174,3367.726,3374.012,5954
2025-08-05 06:00:00,3374.046,3374.216,3365.679,3366.243,5780
2025-08-05 07:00:00,3366.279,3375.555,3366.068,3373.675,7192
2025-08-05 08:00:00,3373.596,3374.631,3366.079,3366.148,5996
2025-08-05 09:00:00,3366.186,3366.379,3358.849,3359.703,6329
2025-08-05 10:00:00,3359.668,3361.808,3352.966,3353.244,7207
2025-08-05 11:00:00,3353.254,3354.387,3349.827,3351.432,6967
2025-08-05 12:00:00,3351.432,3367.015,3349.89,3366.137,10215
2025-08-05 13:00:00,3366.171,3379.728,3365.861,3373.75,12130
2025-08-05 14:00:00,3373.81,3386.617,3370.488,3385.378,16956
2025-08-05 15:00:00,3385.41,3390.057,3382.158,3389.514,8273
2025-08-05 16:00:00,3389.551,3390.426,3376.914,3382.039,8530
2025-08-05 17:00:00,3382.079,3382.869,3379.029,3380.123,5424
2025-08-05 18:00:00,3380.122,3381.215,3378.406,3380.115,4919
